"","CXQ_T_tpm","GY_T_tpm","HCM_T_tpm","LGL_T_tpm","MYP_T_tpm","SMJ_T_tpm","XB_T_tpm","CXQ_N_tpm","GY_N_tpm","HCM_N_tpm","LGL_N_tpm","MYP_N_tpm","SMJ_N_tpm","XB_N_tpm"
"ABHD18",4.13031427709663,2.87151602303256,4.58469106832253,5.29383711790049,4.60994350020851,3.55971942514981,2.67778131679062,4.64051754464065,6.93602797883392,5.96613171007068,5.9297702870842,5.47137611229704,4.3703651388103,3.01316002576317
"ABHD2",27.2600742288378,65.0876965220714,21.3952249855052,129.699009388562,21.5130696676397,28.4777554011985,19.6370629897979,10.4411644754415,13.8720559576678,13.1254897621555,20.1612189760863,14.5903362994588,18.5740518399438,7.53290006440792
"ABHD3",22.3036970963218,29.6723322380031,11.4617276708063,30.8807165210862,13.8298305006255,25.8079658323361,17.8518754452708,74.2482807142504,64.7362611357832,122.902313227456,60.4836569282588,56.5375531604028,81.9443463526931,61.7697805281449
"ABHD4",9.08669140961259,6.70020405374264,10.6976124927526,8.82306186316748,7.68323916701418,9.78922841916197,8.03334395037185,10.4411644754415,11.5600466313899,16.7051687881979,14.2314486890021,9.11896018716174,12.0185041317283,9.0394800772895
"ABHD5",15.6951942529672,11.4860640921302,9.16938213664506,14.9992051673847,16.1348022507298,12.4590179880243,10.7111252671625,11.6012938616016,17.3400699470848,21.4780741562544,18.9752649186694,10.0308562058779,13.1110954164309,10.5460600901711
"ABHD6",6.60850284335461,12.4432360998078,6.11292142443004,14.116898981068,6.14659133361134,10.6791582754494,8.03334395037185,11.6012938616016,9.24803730511189,9.54581073611309,13.0454946315852,7.29516814972939,13.1110954164309,9.0394800772895
"ABHD8",0.826062855419327,0.957172007677521,0.764115178053755,0,0.768323916701418,0.889929856287452,2.67778131679062,1.16012938616016,0,1.19322634201414,1.18595405741684,1.82379203743235,1.09259128470257,1.50658001288158
"ABI1",25.6079485179991,29.6723322380031,27.5081464099352,27.3514917758192,24.5863653344454,33.8173345389232,19.6370629897979,26.6829758816837,33.5241352310306,34.6035639184099,28.4628973780041,27.3568805614852,30.5925559716721,21.0921201803422
"ABI2",23.9558228071605,9.57172007677521,14.5181883830214,9.70536804948422,13.8298305006255,14.2388777005992,7.14075017810831,9.2810350892813,6.93602797883392,8.35258439409895,5.9297702870842,9.11896018716174,6.55554770821545,6.02632005152634
"ABI3",1.65212571083865,1.91434401535504,3.05646071221502,1.7646123726335,3.84161958350709,2.66978956886236,9.81853149489893,5.80064693080081,3.46801398941696,5.96613171007068,4.74381622966736,8.20706416844556,6.55554770821545,10.5460600901711
"ABI3BP",1.65212571083865,2.87151602303256,10.6976124927526,1.7646123726335,16.9031261674312,7.11943885029961,4.46296886131769,16.2418114062423,26.5881072521967,21.4780741562544,18.9752649186694,38.2996327860793,17.4814605552412,7.53290006440792
"ABITRAM",20.6515713854832,9.57172007677521,16.0464187391289,10.587674235801,12.2931826672227,10.6791582754494,12.4963128116895,15.0816820200821,12.7160512945288,13.1254897621555,9.48763245933471,10.9427522245941,9.83332156232317,10.5460600901711
"ABL1",24.7818856625798,16.2719241305179,17.5746490952364,20.2930422852852,14.5981544173269,14.2388777005992,23.207438078852,16.2418114062423,15.0280606208068,15.5119424461838,22.5331270909199,19.1498163930396,13.1110954164309,10.5460600901711
"ABL2",4.95637713251596,2.87151602303256,6.11292142443004,3.52922474526699,5.37826741690992,2.66978956886236,2.67778131679062,1.16012938616016,3.46801398941696,1.19322634201414,2.37190811483368,2.73568805614852,2.18518256940515,1.50658001288158
"ABLIM1",35.520702783031,36.3725362917458,27.5081464099352,91.7598433769417,20.7447457509383,25.8079658323361,47.3074699299676,26.6829758816837,47.3961911886984,35.7967902604241,49.8100704115072,36.4758407486469,36.0555123951849,16.5723801416974
"ABLIM2",9.91275426503192,3.82868803071008,14.5181883830214,7.05844949053398,9.21988700041701,1.7798597125749,8.03334395037185,4.64051754464065,3.46801398941696,4.77290536805654,3.55786217225052,3.64758407486469,3.27777385410772,4.51974003864475
